Wetland,tide_date,uTHg,fTHg,pTHg,uMeHg,fMeHg,pMeHg,Units
Yolo,2014-05-28,1071.2343202420827,-148.43923053451246,1219.6735507765952,-28.971619467030365,-6.597524709284642,-22.37409475774573,ng/day/m2
Yolo,2014-06-24,799.461827222845,-125.34641108195814,924.8082383047976,0.7414151023567361,-3.7027851553476614,4.444200257704365,ng/day/m2
Yolo,2014-08-11,1346.4368049602028,27.70941298045601,1318.7273919797476,5.205665008087011,7.99920494909034,-2.7935399410033086,ng/day/m2
Yolo,2014-09-22,-1353.625877531876,-45.18183385186281,-1308.4440436800141,-15.330146779333692,-10.020701849356279,-5.309444929977407,ng/day/m2
Yolo,2014-11-17,-3170.3578260135732,-109.88541850488804,-3060.472407508685,-19.731203522728965,-8.614023243096263,-11.117180279632702,ng/day/m2
Yolo,2015-01-26,-1893.9488073570756,-299.2958478795539,-1594.6529594775222,-98.36581820243283,-28.217274022001856,-70.14854418043092,ng/day/m2
Yolo,2015-02-24,-704.9694958356873,-81.25081321872746,-623.71868261696,-28.47372998941304,-7.640697759399679,-20.833032230013316,ng/day/m2
Yolo,2015-03-23,-1297.1513988871668,-82.4347750211557,-1214.716623866011,-5.3261731744072,4.229032444504103,-9.55520561891133,ng/day/m2
Yolo,2015-04-20,1281.0820696726971,-44.17051380092635,1325.2525834736239,-20.831575653023943,-0.885026529610806,-19.946549123413142,ng/day/m2
Yolo,2015-04-27,637.4729506940408,-79.6669767037425,717.1399273977823,0.23438848913830604,-0.8819265277342972,1.1163150168726081,ng/day/m2
Blacklock,2015-06-30,-5060.475748130711,-69.5204873808953,-4990.9552607498135,-2.560709121595935,4.645547286189954,-7.206256407785886,ng/day/m2
Blacklock,2015-07-28,-1712.4057125185354,-44.01973070734758,-1668.385981811187,53.432379938742656,13.913036984846778,39.51934295389587,ng/day/m2
Blacklock,2015-09-15,-369.87571157615406,62.10580319827628,-431.98151477443133,62.074969560273395,9.751467646333648,52.323501913939744,ng/day/m2
Blacklock,2015-10-26,-15963.276654237743,-787.3046180870027,-15175.972036150739,-195.69837267800412,-63.24035692642754,-132.45801575157657,ng/day/m2
Blacklock,2016-02-03,2219.26696623532,965.3409450087332,1253.9260212265874,28.897027694095662,364.09569854532174,6.709700445422401,ng/day/m2
Blacklock,2016-02-24,-13554.965370480131,-929.6239306986964,-12625.341439781429,-92.853357043685,-39.94304909918037,-52.91030794450463,ng/day/m2
Blacklock,2016-03-22,-18785.21473338679,-1343.54867324004,-17441.666060146745,-104.19363117152947,-51.38770051221262,-52.80593065931688,ng/day/m2
Blacklock,2016-04-19,-30199.6819974649,-5784.509643735303,-24415.1723537296,-157.33001013879436,-77.5207665167546,-79.80924362203977,ng/day/m2
Blacklock,2016-05-16,-25649.545336222618,-533.9298085869714,-25115.615527635644,-110.59892147147337,-16.1491203457332,-94.44980112574022,ng/day/m2
Blacklock,2016-06-14,-13294.13887020464,-1059.6653117306491,-12234.473558473996,-19.224778178215594,-5.714282785738336,-13.51049539247726,ng/day/m2
North Lindsey,2016-12-06,20.633925139593494,45.058470478016055,-24.424545338422558,-2.1851159868795182,-0.6050301563823259,-1.580085830497193,ng/day/m2
North Lindsey,2017-06-27,-350.0633301168087,184.8679860939218,-534.9313162107306,-36.84594444281784,-26.495587264759166,-10.350357178058688,ng/day/m2
North Lindsey,2017-08-27,67.21364153439498,0.10482324771430647,67.10881828668073,-1.0784605764839739,-3.4025869983059973,2.3241264218220232,ng/day/m2
North Lindsey,2017-09-26,281.13223195106985,57.13673737842425,223.9954945726456,9.274641915993014,3.4266212204332347,5.848020695559781,ng/day/m2
North Lindsey,2017-10-24,180.90786130527326,18.162455978964587,162.7454053263087,5.113863083491349,2.0977082067591213,3.0161548767322284,ng/day/m2
North Lindsey,2017-11-14,109.49153886251815,38.04474454542783,71.44679431709038,8.062102246704479,4.802976832770269,3.25912541393421,ng/day/m2
North Lindsey,2017-12-12,86.25124974427672,46.849897353429924,39.40135239084676,1.3236982211365351,3.498853743706892,-2.17515552257036,ng/day/m2
North Lindsey,2018-02-06,35.532643225204545,-1.3748909700202756,36.90753419522483,-1.0688558416934177,2.845146717961086,-3.914002559654503,ng/day/m2
North Lindsey,2018-02-26,28.434961781650422,8.077393307774669,20.357568473875787,-3.8428615436588935,-0.6658804059209666,-3.17698113773793,ng/day/m2
North Lindsey,2018-04-03,76.65504707852337,47.42033084099152,29.234716237532016,-0.9184710474726012,-2.2369037287239357,1.3184326812513516,ng/day/m2
North Lindsey,2018-04-24,311.02276471809574,26.281382176930084,284.74138254116536,-3.0002241808295707,-0.5988576519417905,-2.4013665288877872,ng/day/m2
North Lindsey,2018-05-15,-135.69735079109603,-75.54830860265618,-60.14904218843983,-24.781519955884715,-12.404685624513707,-12.376834331371008,ng/day/m2
North Lindsey,2018-06-12,-72.74002066389143,-92.66862647934468,19.928605815453317,-52.05047120253053,-34.64798376949476,0.6066340742722349,ng/day/m2
Cosumnes,2018-08-08,2108.2661776200057,-37.50030830674361,2145.766485926749,7.960079594473595,-2.101215641382627,10.061295235856207,ng/day/m2
Cosumnes,2018-08-28,1119.6783559496653,128.80394649807454,990.8744094515913,19.254036417317984,5.573443521758998,13.680592895559,ng/day/m2
Cosumnes,2018-09-25,536.5796631353445,119.11483305601418,417.4648300793308,9.584833216689972,4.63527079590491,4.949562420785064,ng/day/m2
Cosumnes,2018-10-23,431.7835448693293,113.28363117249751,318.499913696832,-3.7448450322985747,-3.02452957707184,-0.7203154552267311,ng/day/m2
Cosumnes,2018-12-11,-2.1401494333337623,-20.771675090181123,18.631525656847728,-67.74829101962575,-33.650994963123125,-34.0972960565026,ng/day/m2
